"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"RM1070 Ford Motor Company Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:15:09Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Ford Motor Company Ltd - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,,02/12/2014,0,"[Ford Motor Company Ltd|Eagle Way
Warley
Brentwood
CM13 3BW|||No|No]",,02/12/2014,01/12/2018,"Open ",
7620120768,Contract,"FCO SERVICES",Awarded,2016-09-21T15:16:51Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",14/06/2016,14/06/2016,14/06/2016,NO,,Yes,No,No,Products,16689.38,,14/06/2016,16689.38,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||No|No]",,14/06/2016,14/06/2016," ",
7620120770,Contract,"FCO SERVICES",Awarded,2016-09-21T15:12:56Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",14/06/2016,14/06/2016,14/06/2016,NO,,Yes,No,No,Products,16689.38,,14/06/2016,16689.38,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||No|No]",,14/06/2016,14/06/2016," ",
7620120771,Contract,"FCO SERVICES",Awarded,2016-09-21T15:09:26Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,PurchasingEnquiries@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",14/06/2016,14/06/2016,14/06/2016,NO,,Yes,No,No,Products,16689.38,,14/06/2016,16689.38,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||No|No]",,14/06/2016,14/06/2016," ",
7620120248,Contract,"FCO SERVICES",Awarded,2016-08-12T13:34:40Z,"Vehicle Purchase","Vehicle Purchase - Call off from CCS Framework ref RM1070 see link http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10",,"MK19 7BH","South East","34000000 60112000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",21/03/2016,21/03/2016,21/03/2016,NO,,Yes,No,No,Products,51567.6,,21/03/2016,51567.6,"[Ford Motor Company Ltd Trust A/C|SS16 5XX|||No|No]",,21/03/2016,21/03/2016," ",
7620119381,Contract,"FCO SERVICES",Awarded,2016-06-27T08:46:28Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",18/12/2015,18/12/2015,18/12/2015,NO,,Yes,No,No,Products,22175,,18/12/2015,22175,"[Ford Motor Company Ltd Trust|SS16 5XX|||No|No]",,18/12/2015,18/12/2015," ",
7620119382,Contract,"FCO SERVICES",Awarded,2016-06-27T08:39:51Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,,18/12/2015,18/12/2015,18/12/2015,NO,,Yes,No,No,Products,22175,,18/12/2015,22175,"[Ford Motor Company Ltd Trust|SS16 5XX|||No|No]",,18/12/2015,18/12/2015," ",
7620119383,Contract,"FCO SERVICES",Awarded,2016-06-24T13:51:39Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22rm1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",18/12/2015,18/12/2015,18/12/2015,NO,,Yes,No,No,Products,22175,,18/12/2015,22175,"[Ford Motor Company Ltd Trust|SS16 5XX|||No|No]",,18/12/2015,18/12/2015," ",
7620119384,Contract,"FCO SERVICES",Awarded,2016-06-24T13:45:10Z,"Vehicle Purchase",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22rm1070%22&items_per_page=10,,"MK19 7BH","South East","34000000 60112000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",18/12/2015,18/12/2015,18/12/2015,NO,,Yes,No,No,Products,17889.75,,18/12/2015,17889.75,"[Ford Motor Company Ltd Trust|SS16 5XX|||No|No]",,18/12/2015,18/12/2015," ",
1225403198,Contract,"North Devon District Council",Awarded,2015-08-14T14:18:22Z,"Supply of two vehicles","Supply of two vehicles (transit connects)",,,"South West","34000000 ","Paul Burton",support@due-north.com,"Brynsworthy Environment Centre",Roundswell,Barnstaple,"EX31 3NP",UK,"01271 (01271-318505",https://www.supplyingthesouthwest.org.uk/procontract/supplier.nsf,,"https://www.supplyingthesouthwest.org.uk/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9ZBJ-472NFH ",,18/06/2015,19/11/2015,01/05/2015,NO,,No,No,No,Products,0,,18/06/2015,26508,"[Ford Motor Company Ltd|Brynsworthy Environment Centre, Roundswell, Barnstaple, Devon, EX31 3NP|||No|No]",,18/06/2015,19/11/2015,"NotSpecified ",
CB/BFG/0149,Contract,"MINISTRY OF DEFENCE",Awarded,2018-02-07T08:11:01Z,"TRANSPARENCY NOTICE ONLY - Provision of Vehicles against RM1070","Provision of various motor vehicles by various manufacturers. The contract document attached to this notice is a composite of the nine contracts awarded in total.",,,"Any region","34100000 ","Nicholas Henthorn",nick.henthorn155@mod.uk,"Army Commercial BFG","Catterick Barracks",Bielefeld,"BF1 0AP",England,,,"20180104-CBBFG0149_Contract_Docs_Redacted.pdf ",,,19/12/2017,18/12/2018,11/12/2017,NO,,No,No,No,Products,625000,,18/12/2017,625000,"[Volvo Car UK Ltd|Scandinavia House, Norreys Drive, Maidenhead, Berks SL6 4FL|COMPANIES_HOUSE|02281044|No|No][Yamaha Motor Europe N.V.|Units A2-A3, Kingswey Business Park, Forsyth Road, Woking
Surrey GU21 SSA|COMPANIES_HOUSE|FC032245|No|No][Ford Motor Company Ltd|Room 1/321, Eagle Way, Brentwood, Essex CM13 3BW|COMPANIES_HOUSE|0235446|No|No][Jaguar Land Rover Ltd|Abbey Road, Whitley, Coventry CV3 4LF|COMPANIES_HOUSE|01672070|No|No][Hyundai Motor UK Ltd|728 London Road, High Wycombe, Bucks HP11 1 HE|COMPANIES_HOUSE|05446560|No|No][The Colt Car Company Ltd|Watermoor, Cirencester, Gloucestershire GL7 1 LF|COMPANIES_HOUSE|01163954|No|No][Vauxhall Motors Ltd|Griffin House, Osborne Road, Luton, Bedfordshire LU1 3YT|COMPANIES_HOUSE|00135767|No|No][Volkswagen Group United Kingdom Ltd|Yeomans Drive, Blakelands, Milton Keynes, Buckinghamshire
MK14 SAN|COMPANIES_HOUSE|00514809|No|No][Kia Motors (UK) Ltd|Walton Green, Walton-On-Thames, Surrey KT12 1FJ|COMPANIES_HOUSE|04415807|No|No]",,19/12/2017,18/12/2018,"CallOffFromFrameworkAgreement ",
CB/BFG/0161,Contract,"MINISTRY OF DEFENCE",Awarded,2018-08-23T15:27:08Z,"TRANSPARENCY NOTICE ONLY - PROVISION OF VEHICLES AGAINST RM1070 FRAMEWORK","Provision of various motor vehicles by various manufacturers. the contract document attached to this notice is a composite of the eight contracts awarded in total.",,,"Any region","34100000 ","Nicholas Henthorn",nick.henthorn155@mod.uk,"Army Commercial BFG","Catterick Barracks","Bielefeld BFPO 39","BF1 0AP",England,004952192542487,,"20180823-CBBFG0161_Order_Form_Redacted.pdf ",,,07/08/2018,30/11/2018,31/07/2018,NO,,No,No,No,Products,380825,,06/08/2018,380825,"[Toyota (GB) plc|Great Burgh
Burgh Heath
Epsom
Surrey
KT18 5UX|NONE||No|No][Park Lane Ltd|Summit One
Summit Avenue
Farnborough
Hants
GU14 0FB|NONE||No|No][CMS (Kidderminster) Ltd|Churchfields
Kidderminster
Worcs
DY10 2JL|NONE||No|No][Springfield Cars Ltd|3 Crowther Road
Crowther
Washington
Tyne and Wear
NE38 0AQ|NONE||No|No][Volvo Car UK Ltd|Scandinavia House
Norreys Drive
Maidenhead
Berks
SL6 4FL|NONE||No|No][Ford Motor Company Ltd|Room 1/321
Eagle Way
Brentwood
Essex
CM13 3BW|NONE||No|No][Hyundai Motor UK Ltd|728 London Road
High Wycombe
Bucks
HP11 1HE|NONE||No|No][Kia Motors (UK) Ltd|Walton Green
Walton-on-Thames
Surrey
KT12 1FJ|NONE||No|No]",,07/08/2018,30/11/2018,"CallOffFromFrameworkAgreement ",
BIP446414108,Contract,"Rotherham Metropolitan Borough Council",Awarded,2019-11-28T15:31:08Z,"GB-Rotherham: TPPL Rotherham Council HCC Lot 2  6 x Various Tippers","TPPL Rotherham Council HCC Lot 2  6 x Various Tippers",,,"Yorkshire and the Humber","34134200 ","Andrew Barker",andrew.barker@rotherham.gov.uk,"Hellaby Depot","Sandbeck Way",Rotherham,"S66 8QL",UK,01709334314,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=446414108 ",,02/02/2020,02/03/2020,18/09/2019,NO,,No,No,No,Products,70084,,18/09/2019,70084.14,"[Marshall Motor Group|The Quorum
        Barnwell Road
        Cambridge
        CB58RE|NONE||No|No][Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dave Edgeller",02/02/2020,02/03/2020,"NotSpecified ",
BIP438774130,Contract,"North Warwickshire Borough Council",Awarded,2019-11-28T15:10:07Z,"GB-Atherstone: TPPL North Warwickshire Borough Council HCC Lot 2 - 12 x LCV's","TPPL North Warwickshire Borough Council HCC Lot 2 - 5 x LCV's",,,"West Midlands","34136000 ","John Rhodes",johnrhodes@northwarks.gov.uk,"South Street",,Atherstone,"CV9 1BG",UK,01827715341,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=438774130 ",,02/01/2020,02/02/2020,04/09/2019,NO,,No,No,No,Products,47476,,04/09/2019,47476.5,"[Motus Group / Imperial Commercials Ltd|Ashbourne Road
        Mackworth
        Ashbourne Road
        Derby
        DE22 4NB|NONE||No|No][Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Helen Wheatley",02/01/2020,02/02/2020,"NotSpecified ",
DS255-18,Contract,"DEVON & SOMERSET FIRE & RESCUE SERVICE",Awarded,2018-10-09T15:55:29Z,"Contract Award - Supply of 4x4 Pickup Trucks (Ford Ranger)","Devon and Somerset Fire and Rescue Authority has awarded a contract to Ford Motor Company Ltd for the provision of up to 23 Ford Ranger Pickup Trucks.

The contract is awarded via Lot 2 of the Crown Commercial Framework Agreement for Vehicle Purchases (RM1070).",,,"South West","34131000 ","Bridget Phillips",bphillips@dsfire.gov.uk,"The Knowle, Clyst St. George",,EXETER,EX30NW,England,"01392 872396",,,,,09/10/2018,08/10/2026,26/09/2018,NO,,Yes,No,No,Products,500000,,08/10/2018,500000,"[FORD MOTOR COMPANY LIMITED|Eagle Way
CM13 3BW
GB|COMPANIES_HOUSE|00235446|No|No]",,09/10/2018,08/10/2026,"CallOffFromFrameworkAgreement ",
