Organisation name,Purchase Order Number,Order date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,e1015368,2014-12-10,14473.80,ROC NORTHWEST LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1017793,2014-12-10,30000.00,ELDERCARE UK LTD,TELEPHONE EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1010079,2014-12-10,18000.00,CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010080,2014-12-10,28667.00,CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010081,2014-12-10,28667.00,CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1010082,2014-12-10,28667.00,ADOPTION MATTERS NORTHWEST,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1046900,2014-12-11,8398.06,BURNT TREE GROUP,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046908,2014-12-11,22470.73,BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046924,2014-12-11,22000.00,ACIES CIVIL AND STRUCTURAL,SURVEYORS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046925,2014-12-11,5000.00,SCOTT HUGHES,ENGINEERS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046935,2014-12-11,8326.06,BURNT TREE GROUP,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015374,2014-12-11,291641.88,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015376,2014-12-11,5227.40,BEVAN BRITTAN LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015381,2014-12-11,9273.74,MIDDLETON TECHNOLOGY SCHOOL FUND,ELECTRICITY,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015382,2014-12-11,8310.37,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015383,2014-12-11,9984.18,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015385,2014-12-11,8745.88,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015386,2014-12-11,13495.14,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015387,2014-12-11,387378.16,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015388,2014-12-11,16083.83,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015389,2014-12-11,8310.37,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015390,2014-12-11,9857.55,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015395,2014-12-11,54622.68,DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003877,2014-12-11,5000.00,CAPITA TREASURY SOLUTIONS LTD,CONSULTANT FEES,FINANCE SERVICES
Rochdale Borough Council,q1003204,2014-12-11,45950.00,OPTEVIA LTD,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003205,2014-12-11,11050.00,OPTEVIA LTD,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046944,2014-12-12,5225.00,CHARTERED INSTITUTE OF HOUSING,PROFESSIONAL FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046962,2014-12-12,300000.00,OTIS LTD,NEW CONSTRUCTION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015409,2014-12-12,50500.00,POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1017802,2014-12-12,6255.60,SUPRA UK LIMITED,EQUIPMENT - GENERAL,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017805,2014-12-12,5020.00,ADAPT BUILDING SERVICES LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1010094,2014-12-12,18000.00,ADOPTION MATTERS NORTHWEST,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1046972,2014-12-15,11528.00,D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003880,2014-12-15,5387.20,MERITEC LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,d1046990,2014-12-16,24922.08,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046991,2014-12-16,23289.12,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046992,2014-12-16,10225.44,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046995,2014-12-16,30278.00,JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047024,2014-12-16,9742.30,INTEGRATED WATER SERVICES LIMITED,PROPERTY - WORKS ELEMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047025,2014-12-16,6075.00,ROCHDALE CIRCULAR DISTRIBUTORS,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003883,2014-12-16,38480.00,CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,f1003887,2014-12-16,7600.00,NORTHGATE INFORMATION SOLUTIONS UK LTD,SOFTWARE,FINANCE SERVICES
Rochdale Borough Council,q1003241,2014-12-16,6751.89,ROYAL MAIL GROUP PLC,POSTAGE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047031,2014-12-17,10225.44,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047032,2014-12-17,24922.08,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047033,2014-12-17,10225.44,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047034,2014-12-17,24922.08,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047035,2014-12-17,23289.12,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047036,2014-12-17,11644.56,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047037,2014-12-17,10225.44,STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047052,2014-12-17,6739.20,CORAL PRODUCTS PLC,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003249,2014-12-17,9930.00,ME LEARNING LIMITED,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,q1003250,2014-12-17,6018.08,PHOENIX SOFTWARE LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003251,2014-12-17,41044.18,XEROX UK LTD,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017830,2014-12-17,7750.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,VOLUNTARY ASSOCIATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017831,2014-12-17,27000.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,VOLUNTARY ASSOCIATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1000442,2014-12-17,8000.00,THE PARAMOUNT GROUP,RESIDENTIAL LONG TERM,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,w1000443,2014-12-17,16000.00,THE PARAMOUNT GROUP,RESIDENTIAL LONG TERM,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1047084,2014-12-18,13800.00,SALFORD CITY COUNCIL,AGMA,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015447,2014-12-18,31993.60,AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003254,2014-12-18,93340.42,SOFTCAT LTD,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003256,2014-12-18,121352.00,AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003257,2014-12-18,121352.00,AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003258,2014-12-18,121352.00,AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003265,2014-12-18,157560.34,AGILISYS LIMITED,DISPOSAL OF FIXED ASSET - ASSET NBV,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003266,2014-12-18,25836.00,AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017846,2014-12-18,7035.00,HIGH BARN CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017847,2014-12-18,17990.00,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1047109,2014-12-19,5358.00,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015466,2014-12-19,12139.34,ROYAL SCHOOL FOR THE DEAF DERBY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015472,2014-12-19,8220.00,DR CAROLINE WHITE,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003268,2014-12-19,6399.00,RIBA ENTERPRISES LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003271,2014-12-19,18039.90,Misco,PURCHASE OF ICT HARDWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003275,2014-12-19,19621.00,UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1047123,2014-12-22,5000.00,THE SANCTUARY TRUST,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1047131,2014-12-22,5491.40,H BELL & SONS ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1047132,2014-12-22,9758.89,BELL  DECORATING GROUP LTD,REPAIRS & ALTS OF BUILDINGS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015474,2014-12-22,15321.24,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015477,2014-12-23,130330.90,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015480,2014-12-23,437443.93,INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015481,2014-12-23,296353.67,INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003903,2014-12-23,242603.37,LIFE FITNESS UK LIMITED,CAPITAL BUDGET ALLOCATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003297,2014-12-23,14720.00,TURNING POINT SERVICES LIMITED,SERVICES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003299,2014-12-23,6230.00,7 PDS,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,w1000463,2014-12-23,57000.00,ALLIED HEALTHCARE GROUP LIMITED,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,e1015490,2014-12-24,15623.40,SEASHELL TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1017872,2014-12-24,5215.00,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017878,2014-12-24,5496.00,STANNAH LIFT SERVICES LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017879,2014-12-24,5150.00,MICK TAYLOR LIMITED,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017881,2014-12-24,5190.00,ADAPT BUILDING SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1047151,2014-12-29,13419.00,ROCHDALE TRAINING ASSOCIATION LIMITED,TRAINING-QUALIFICATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015495,2014-12-29,63666.66,REDACTED PERSONAL DATA,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015496,2014-12-29,63666.66,REDACTED PERSONAL DATA,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003306,2014-12-29,7939.50,FORBES SOLICITORS,INPUT VAT -  ADJUSTMENTS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,f1003906,2014-12-30,29461.25,MERITEC LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,f1003907,2014-12-30,8500.00,ROYAL MAIL GROUP PLC,POSTAGE,FINANCE SERVICES
Rochdale Borough Council,ph100668,2014-12-30,142688.92,BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph100669,2014-12-30,227150.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
